-> 1s
	9.90
	9.95
	10.54
	10.29
	10.19
	10.38
	10.37
	10.44
	10.06
	9.73
	10.13
	10.28
	10.18
	9.99
	10.38
	9.64
	10.27
	10.27
	10.27
	10.23
	10.02
	10.51
	10.28
	10.09
	9.41
	10.10
	10.03
	9.77
	9.85
	9.81
	10.31
	10.20
	10.11

	Average: 9.56989
	Standard deviation: 0.754912

-> 11s
	10.03
	10.65
	10.54
	9.93
	9.99
	10.63
	10.31
	10.36
	10.27
	9.81
	9.63
	10.09
	10.52
	10.36
	10.24
	10.69
	9.58
	10.16
	10.01
	10.53
	10.34
	10.17
	10.50
	10.26
	10.18
	9.97
	10.42
	10.36
	9.85
	9.41
	9.64
	10.10
	10.40
	9.93
	9.71
	10.04
	10.10
	10.11
	9.57
	10.12
	10.15
	9.66
	10.10
	10.45
	10.11
	10.26
	10.07
	9.58
	10.09
	9.59
	10.50
	10.14
	10.05
	10.65
	10.21
	9.93
	9.51
	10.42
	10.28
	10.00
	10.74
	9.98
	10.07
	10.00
	9.91
	10.50
	10.19
	10.21
	10.30
	10.04
	9.72
	10.14
	9.96
	9.39
	9.73
	10.09
	10.35
	10.24
	10.20
	10.60
	9.79
	10.17
	9.62
	10.15
	10.27
	10.47
	10.25
	10.20
	10.45
	10.07
	10.50
	9.91

	Average: 9.71739
	Standard deviation: 0.84699

-> 12s
	9.83
	9.90
	9.86
	9.95
	10.16
	10.43
	9.84
	9.73
	10.12
	10.54
	9.39
	10.02
	10.29
	9.96
	10.03
	9.96
	10.28
	10.19
	10.43
	9.97
	10.48
	9.91
	10.72
	10.29
	10.24
	9.80
	9.42
	10.53
	10.52
	10.00
	9.51
	10.27
	10.41
	9.92
	10.12
	10.69
	10.51
	10.03
	10.21
	10.61
	10.29
	10.20
	9.85
	9.72
	10.16
	10.44
	10.08
	10.40
	10.39
	10.53
	9.62
	10.18
	10.44
	10.30
	10.25
	10.48
	10.18
	10.70
	10.33
	10.32
	9.90
	9.57
	10.24
	10.42
	10.27
	9.88
	9.80
	9.95
	10.12
	10.31
	10.22
	10.06
	10.25
	9.85
	9.96
	10.33
	10.36
	10.40
	10.30
	9.96
	10.32
	10.58
	10.06
	10.21
	10.20
	9.76
	9.90
	10.45
	10.20
	10.19
	10.48
	10.00

	Average: 9.69565
	Standard deviation: 0.834058

-> 13s
	10.41
	9.93
	10.54
	10.04
	10.52
	10.16
	10.10
	10.52
	10.27
	9.92
	10.68
	10.07
	9.61
	9.97
	10.24
	9.95
	10.57
	10.07
	10.28
	10.15
	10.52
	10.01
	9.97
	10.03
	10.07
	10.29
	10.29
	10.26
	10.23
	10.18
	10.13
	10.39
	10.33
	10.35
	9.92
	10.11
	10.33
	9.63
	9.52
	9.84
	10.12
	10.41
	10.34
	10.17
	10.42
	10.16
	10.45
	10.45
	9.84
	10.66
	9.99
	10.36
	10.02
	9.83
	10.02
	10.26
	10.40
	10.11
	10.18
	10.28
	9.60
	9.73
	9.67
	10.15
	10.46
	9.95
	10.56
	10.18
	10.18
	9.53
	10.10
	10.31
	10.37
	10.67
	10.38
	9.65
	10.37
	10.10
	9.98
	10.90
	10.43
	10.62
	10.20
	10.22
	10.27
	10.19
	10.26
	9.59
	9.76
	10.27
	10.23
	10.42

	Average: 9.76087
	Standard deviation: 0.872278

-> 14s
	9.50
	10.11
	10.48
	9.90
	10.07
	9.64
	9.87
	10.16
	9.78
	10.12
	9.49
	10.34
	10.29
	9.80
	10.44
	10.26
	10.19
	10.41
	9.97
	10.37
	10.22
	9.63
	10.16
	10.11
	10.16
	9.62
	9.44
	9.90
	10.47
	10.23
	9.88
	10.02
	9.60
	10.60
	9.91
	9.63
	10.14
	10.57
	10.23
	9.98
	10.55
	10.14
	9.41
	9.41
	10.15
	10.40
	10.10
	9.62
	9.93
	10.41
	10.17
	10.34
	10.34
	10.21
	9.89
	10.63
	10.30
	9.99
	10.58
	10.33
	10.06
	10.28
	9.57
	10.21
	9.93
	9.41
	10.40
	10.22
	10.60
	9.97
	10.37
	10.08
	10.73
	9.88
	10.18
	10.44
	10.00
	10.50
	10.17
	10.34
	9.99
	10.35
	10.43
	10.19
	9.64
	10.05
	10.42
	10.18
	10.36
	10.19
	10.09
	9.55
	10.38

	Average: 9.66667
	Standard deviation: 0.816497

-> 15s
	10.06
	10.48
	9.60
	9.99
	10.07
	10.01
	10.01
	10.34
	9.77
	10.35
	10.62
	9.95
	9.97
	10.34
	9.85
	9.56
	10.09
	10.52
	10.17
	10.40
	10.10
	10.59
	10.15
	9.62
	9.90
	10.39
	9.64
	9.77
	9.49
	11.08
	10.40
	10.03
	10.46
	10.06
	10.47
	10.59
	10.05
	10.45
	10.08
	10.60
	9.51
	9.79
	10.50
	10.66
	9.80
	10.53
	10.60
	10.08
	9.68
	9.71
	10.27
	10.37
	10.37
	10.07
	10.38
	10.08
	9.89
	9.88
	10.33
	10.12
	10.31
	10.48
	10.11
	9.87
	9.99
	10.30
	10.15
	10.67
	10.33
	9.97
	10.39
	10.39
	10.18
	10.07
	10.42
	10.25
	10.24
	9.60
	10.02
	10.54
	10.28
	10.22
	9.95
	9.87
	9.88
	10.30
	10.19
	10.47
	10.13
	9.65
	10.17
	9.69

	Average: 9.70652
	Standard deviation: 0.853382

-> 16s
	9.40
	10.01
	9.55
	10.16
	10.37
	10.33
	9.56
	10.02
	9.99
	9.53
	10.38
	9.88
	10.28
	10.14
	9.99
	10.32
	10.45
	10.65
	10.31
	10.31
	10.35
	10.25
	9.79
	9.63
	10.12
	10.02
	9.59
	10.49
	9.59
	9.93
	9.61
	9.84
	10.40
	10.29
	10.46
	10.22
	10.22
	10.00
	9.83
	9.87
	10.42
	9.37
	10.04
	10.50
	9.58
	9.55
	9.72
	10.27
	9.40
	9.44
	9.46
	9.64
	9.51
	9.44
	9.50
	9.57
	9.55
	10.18
	9.89
	9.68
	10.18
	10.06
	10.39
	9.58
	10.00
	10.19
	10.27
	10.07
	10.51
